Auction ID,OPA,Address,County
1047326,241187700,"3217 HAMILTON ST,  19104-2516",Philadelphia
1047350,042157900,"5724 VINE ST,  19139-1235",Philadelphia
1047862,111170400,"2959 N HICKS ST,  19132-2221",Philadelphia
1037122,502420800,"1035 E GORGAS LN,  19150-3016",Philadelphia
1037128,031171400,"139 S 61ST ST,  19139-3043",Philadelphia
1037328,612204800,"427 FERN ST,  19120-1813",Philadelphia
1037346,022134300,"781 S 3RD ST,  19147-3325",Philadelphia
1037541,651122300,"4338 CHIPPENDALE STREET,  19136-0000",Philadelphia
1037547,363061900,"1921 TASKER ST,  19145-1429",Philadelphia
1037681,101099300,"6629 N GRATZ ST,  19126-2633",Philadelphia
1037760,171351000,"1712 W 65TH AVE,  19126-0000",Philadelphia
1037833,493114600,"5131 N 12TH ST,  19141-2810",Philadelphia
1038029,364156800,"1627 S RINGGOLD ST,  19145-1312",Philadelphia
1038035,612281400,"5451 N 6TH ST,  19120-2705",Philadelphia
1038204,111232200,"2865 N GARNET ST,  19132-2620",Philadelphia
1038320,042084700,"31 N 58TH ST,  19139-2410",Philadelphia
1038326,403083000,"6544 WINDSOR ST,  19142-0000",Philadelphia
1039475,112198500,"3439 N 16TH ST,  19140-4904",Philadelphia
1040847,521352200,"1716 GEORGES LN,  19131-3314",Philadelphia
1040975,888650982,"8030 DITMAN ST #82N,  19136-4402",Philadelphia
1041332,033037400,"6144 WEBSTER ST,  19143-2218",Philadelphia
1041499,551517400,"3414 COTTMAN AVE,  19149-1604",Philadelphia
1041732,482293300,"2023 S BUCKNELL ST,  19145-2607",Philadelphia
1042494,562136500,"2328 BENSON ST,  19152-2504",Philadelphia
1043151,453147100,"2751 PRATT ST,  19137-2103",Philadelphia
1043157,101206100,"7527 E WALNUT LN,  19138-2218",Philadelphia
1043163,221230000,"6460 MUSGRAVE ST,  19119-2331",Philadelphia
1043193,603129300,"141 S PEACH ST,  19139-3346",Philadelphia
1043223,222094100,"147 MEEHAN AVE,  19119-0000",Philadelphia
1043455,552442500,"6239 GILLESPIE ST,  19135-3200",Philadelphia
1043485,562241500,"1916 EVARTS ST,  19152-1209",Philadelphia
1045316,502239600,"7640 WILLIAMS AVE,  19150-2214",Philadelphia
1045316,502239700,"7642 WILLIAMS AVE,  19150-2214",Philadelphia
1045814,441108000,"41 N PAXON ST,  19139-2749",Philadelphia
1046055,314149710,"1933 E HUNTINGDON ST,  19125-1109",Philadelphia
1047066,162176301,"2237 N 21ST ST,  19132-4802",Philadelphia
1047072,441159700,"144 N LINDENWOOD ST,  19139-2624",Philadelphia
1047078,344240700,"813 N 64TH ST,  19151-3402",Philadelphia
1047303,881070150,"1522-26 W GIRARD AVE,  19130-1613",Philadelphia
1047303,881070152,"1528-30 W GIRARD AVE,  19130-1613",Philadelphia
1047303,881070154,"1532-34 W GIRARD AVE,  19130-1613",Philadelphia
1047315,442226600,"1225 N 50TH ST,  19131-4502",Philadelphia
1047327,073227500,"136 E WESTMORELAND ST,  19134-1655",Philadelphia
1047339,403150600,"6624 WOODLAND AVE,  19142-2223",Philadelphia
1047351,611438200,"1021 LAKESIDE AVE,  19126-2306",Philadelphia
1047375,611361900,"185 E WALNUT PARK DR,  19120-1024",Philadelphia
1047579,551160700,"2806 RAWLE ST,  19149-2521",Philadelphia
1047939,411448500,"6437 TULIP ST,  19135-3324",Philadelphia
1048690,582103100,"614 LAWLER PL,  19116-3319",Philadelphia
1036707,561042000,"7535 TABOR AVE,  19111-0000",Philadelphia
1037123,033131000,"5819 ELLSWORTH ST,  19143-3015",Philadelphia
1037335,381254700,"2817 N 28TH ST,  19132-2512",Philadelphia
1037341,394584300,"1853 S SARTAIN ST,  19148-2113",Philadelphia
1037347,431053700,"1119 RISING SUN AVE,  19140-5307",Philadelphia
1037512,432226600,"929 W BUTLER ST,  19140-3128",Philadelphia
1037536,663017600,"3129 HOLLY RD,  19154-1707",Philadelphia
1037542,612293600,"5438 N FAIRHILL ST,  19120-2711",Philadelphia
1037548,412346600,"6706 DITMAN ST,  19135-2222",Philadelphia
1037834,502304400,"8616 FAYETTE ST,  19150-1904",Philadelphia
1038036,502393600,"1013 SLOCUM ST,  19150-0000",Philadelphia
1038205,171257200,"2038 W SPENCER ST,  19138-2445",Philadelphia
1038315,581380900,"9815 DUNGAN RD,  19115-0000",Philadelphia
1038327,394124500,"2529 S ALDER ST,  19148-4426",Philadelphia
1039470,521126200,"5211 ARLINGTON ST,  19131-3202",Philadelphia
1040842,172413400,"5741 N LAMBERT ST,  19138-2909",Philadelphia
1040848,622240400,"5224 DUFFIELD ST,  19124-1364",Philadelphia
1040976,301059000,"1804 BAINBRIDGE ST,  19146-1807",Philadelphia
1042495,151305000,"835 N 27TH ST,  19130-1805",Philadelphia
1042696,171114300,"2157 FURLEY ST,  19138-2807",Philadelphia
1043152,511231600,"1246 S 53RD ST,  19143-4816",Philadelphia
1043158,123037600,"37 W ROCKLAND ST,  19144-6020",Philadelphia
1043164,212057700,"314 PENSDALE ST,  19128-0000",Philadelphia
1043170,372032100,"3014 N MARSHALL ST,  19133-2436",Philadelphia
1043182,562425800,"8568 BENTON AVE,  19152-0000",Philadelphia
1043188,401308700,"6053 GREENWAY AVE,  19142-2409",Philadelphia
1043200,493065400,"1330 66TH AVE,  19126-0000",Philadelphia
1043218,342304200,"2025 N 62ND ST,  19151-3207",Philadelphia
1043224,391274100,"2507 S 2ND ST,  19148-4717",Philadelphia
1043230,062226100,"4266 PARKSIDE AVE,  19104-1021",Philadelphia
1043480,888112210,"2101 CHESTNUT ST UNIT 1212,  19103-3107",Philadelphia
1043486,522094900,"5451 DIAMOND ST,  19131-3110",Philadelphia
1046960,023203630,"1138 BAINBRIDGE ST # A A/K/A 701 S 12TH STREET,  19147-1909",Philadelphia
1047067,621585400,"6337 MERSHON ST,  19149-3041",Philadelphia
1047073,612107200,"109 W NEDRO AVE,  19120-2423",Philadelphia
1047079,171193800,"1811 WIDENER PL,  19141-0000",Philadelphia
1047085,234208500,"4325 E WINGOHOCKING Street,  19124-3108",Philadelphia
1047304,492155800,"5917 N HUTCHINSON ST,  19141-3713",Philadelphia
1047340,513127600,"1124 S 54TH ST,  19143-4153",Philadelphia
1047346,252019300,"2042 E SOMERSET ST,  19134-4045",Philadelphia
1047364,043030100,"5801 W THOMPSON ST,  19131-4119",Philadelphia
1047370,061151360,"4436 ASPEN ST,  19104-1320",Philadelphia
1047580,161013500,"2419 N CARLISLE ST,  19132-4018",Philadelphia
1047586,522185100,"5710 WYNNEFIELD AVE,  19131-1229",Philadelphia
1047592,061297110,"725 N 44TH ST,  19104-1314",Philadelphia
1047735,401205000,"2009 S 65TH ST,  19142-2008",Philadelphia
1036976,611175500,"6828 N 9TH ST,  19126-2903",Philadelphia
1037124,012189600,"1627 S 8TH ST,  19148-1214",Philadelphia
1037312,603165500,"227 S 55TH ST,  19139-4043",Philadelphia
1037342,292220600,"3025 REDNER ST,  19121-3509",Philadelphia
1037348,091239500,"9503 MEADOWBROOK AVE,  19118-2625",Philadelphia
1037543,171271200,"1628 WEST SPARKS STREET,  19141-0000",Philadelphia
1037549,341042400,"6056 CALLOWHILL ST,  19151-4317",Philadelphia
1037683,421292600,"4830 A ST,  19120-3941",Philadelphia
1037762,221045500,"229 E CLIVEDEN ST,  19119-2312",Philadelphia
1038031,331268000,"3253 TAMPA ST,  19134-1812",Philadelphia
1038316,641091500,"7913 LISTER ST,  19152-3505",Philadelphia
1038328,233109000,"4977 PENNWAY ST,  19124-3505",Philadelphia
1038788,642023700,"8113 CRISPIN ST,  19136-2613",Philadelphia
1039477,344111300,"6448 WOODCREST AVE,  19151-2407",Philadelphia
1039594,233026700,"5235 ROOSEVELT BLVD AKA 5235 EAST ROOSEVELT BLVD,  19124-0000",Philadelphia
1040843,403235700,"6851 CHESTER AVE,  19142-1206",Philadelphia
1041501,412298100,"7156 GILLESPIE ST,  19135-1204",Philadelphia
1042035,252173600,"2057 E ORLEANS ST,  19134-3628",Philadelphia
1042697,621185700,"2701 LARDNER ST,  19149-3515",Philadelphia
1043159,622165400,"1975 E CHELTENHAM AVE,  19124-1549",Philadelphia
1043201,323198100,"2118 N MARSTON ST,  19121-1219",Philadelphia
1043213,882933825,"4327 LANCASTER AVE,  19104-1303",Philadelphia
1043219,321023500,"1543 PAGE ST,  19121-2317",Philadelphia
1043225,521158600,"5042 GAINOR RD,  19131-3306",Philadelphia
1043231,331290300,"3037 F ST,  19134-2432",Philadelphia
1043457,394338500,"2529 S CAMAC ST,  19148-4311",Philadelphia
1043463,551505600,"3509 ENGLEWOOD ST,  19149-1613",Philadelphia
1043481,331287900,"3438 F ST,  19134-1225",Philadelphia
1045541,412022000,"4813 KNORR ST,  19135-2307",Philadelphia
1045816,243066500,"3852 BROWN ST,  19104-1627",Philadelphia
1047068,522163100,"5925 WOODCREST AVE,  19131-2216",Philadelphia
1047074,033000300,"5804 CATHARINE ST,  19143-2418",Philadelphia
1047080,562293300,"1958 GOODNAW ST,  19115-4721",Philadelphia
1047086,411382800,"6323 HEGERMAN ST,  19135-3301",Philadelphia
1047305,888610055,"6751 N 13TH ST UNIT 1H,  19126-2848",Philadelphia
1047323,421312800,"4929 ELLA ST,  19120-3931",Philadelphia
1047347,632022600,"924 KENDRICK ST,  19111-1406",Philadelphia
1047383,632269600,"8509 KENDRICK PL,  19111-1360",Philadelphia
1047581,522010900,"5959 UPLAND WAY,  19131-2233",Philadelphia
1047859,472097512,"1712 N 19TH ST,  19121-3104",Philadelphia
1037119,422429600,"4713 N 3RD ST,  19120-4101",Philadelphia
1037125,531142000,"1328 GREEBY ST,  19111-5527",Philadelphia
1037131,651158800,"4035 MERIDIAN ST,  19136-3119",Philadelphia
1037319,603085500,"5339 PINE ST,  19143-1414",Philadelphia
1037325,871234600,"5701 WARRINGTON AVE,  19143-5213",Philadelphia
1037337,301166100,"2040 WEBSTER ST,  19146-1337",Philadelphia
1037343,612451000,"5814 N HOWARD ST,  19120-2416",Philadelphia
1037544,162043700,"2233 N GRATZ ST,  19132-4336",Philadelphia
1037550,888052115,"210 LOCUST ST,  19106-3908",Philadelphia
1037684,888200034,"7302 CRESHEIM RD,  19119-4106",Philadelphia
1037757,071372900,"3053 A ST,  19134-2803",Philadelphia
1037830,451138300,"3647 RICHMOND ST,  19134-6223",Philadelphia
1038032,531266800,"5903 FRONTENAC ST,  19149-3632",Philadelphia
1038038,181021700,"1214 SHACKAMAXON ST,  19125-3914",Philadelphia
1038201,532116700,"912 KNORR ST,  19111-4828",Philadelphia
1038317,552060800,"4130 BARNETT ST,  19135-3012",Philadelphia
1038323,112069800,"2235 W ONTARIO ST,  19140-4712",Philadelphia
1038450,361035300,"2053 FEDERAL ST,  19146-2829",Philadelphia
1038783,331126800,"855 E CORNWALL ST,  19134-1905",Philadelphia
1038789,571068200,"2808 CHASE RD,  19152-1602",Philadelphia
1039472,871546280,"6132 W OXFORD ST,  19151-3428",Philadelphia
1040844,888650904,"8030 DITMAN ST #4A A/K/A UNIT 4A,  19136-4402",Philadelphia
1040972,353016300,"310 ROBBINS ST,  19111-1200",Philadelphia
1042497,213221182,"5463 VICARIS ST,  19128-2826",Philadelphia
1042692,403171701,"6644 PASCHALL AVE,  19142-2210",Philadelphia
1042874,492125200,"5151 N 8TH ST,  19120-3107",Philadelphia
1043154,651012900,"4722 WELLINGTON ST,  19135-1326",Philadelphia
1043160,162205700,"2336 N BEECHWOOD ST,  19132-4810",Philadelphia
1043166,562292400,"1940 GOODNAW ST,  19115-4721",Philadelphia
1043172,422241700,"132 W FISHER AVE,  19120-3241",Philadelphia
1043184,632174000,"105 BETH DR,  19115-2702",Philadelphia
1043196,551307500,"3005 DISSTON ST,  19149-1902",Philadelphia
1043208,406315300,"6819 GUYER AVE,  19142-2518",Philadelphia
1043214,341057400,"6056 W GIRARD AVE,  19151-4325",Philadelphia
1043220,551204300,"2841 KNORR ST,  19149-2518",Philadelphia
1043458,033108600,"6105 WASHINGTON AVE,  19143-2914",Philadelphia
1046974,421159900,"140 E RUSCOMB ST,  19120-3940",Philadelphia
1047063,406714600,"2709 ISLAND AVE,  19153-2216",Philadelphia
1047069,491513900,"4800 N 13TH ST,  19141-3427",Philadelphia
1047087,122118900,"864 E CHELTEN AVE,  19138-1712",Philadelphia
1047312,432145700,"3511 N MARVINE ST,  19140-4201",Philadelphia
1047324,401091800,"5714 SPRINGFIELD AVE,  19143-5226",Philadelphia
1047348,621459200,"5011 SAUL ST,  19124-2635",Philadelphia
1047348,621472200,"5014R LEIPER ST,  19124-2631",Philadelphia
1047354,541049500,"1461 STEVENS ST,  19149-3227",Philadelphia
1047360,604191900,"5830 ADDISON ST,  19143-1204",Philadelphia
1047384,382232500,"3540 CONRAD ST,  19129-1639",Philadelphia
1047582,092121100,"751 W ALLENS LN,  19119-3311",Philadelphia
1047860,234241000,"4626 PILLING ST,  19124-3202",Philadelphia
